sample_id,hint,coding_id,coding_scheme,explanation,coding_result,memo
' 3-53-0 ',,C4,"Either or both in-text mention and references contains a unique, persistent identifier (e.g., DOI, ARK, Handle, PURL, NBN) that can resolve to the software itself and/or its metadata. (i.e., the software itself is registered with a persistent URI)",,0,
' 3-53-0 ',,C5,Either or both in-text mention and references contains a commit hash that points to a snapshot of the software.,,0,
' 3-53-0 ',Access to software,C6,There is no access to the software.,"The software may have an online presence, but there is no available information about how to access the software for use.",0,
' 3-53-0 ',,C7,There is only purchase access to the software.,,1,
' 3-53-0 ',,C8,There is free access to the software.,"If the software can be accessed by personal contact or direct download/fork, but there is no information indicating a payment/license fee is required for using it, then software has free access.",0,
' 3-53-0 ',,C9,The source code of the software is accessible.,,0,
' 3-53-0 ',,C10,"The software has a permission to modify. (i.e., free software or an open source license is available; no permission if it requires personal contact)",,0,
' 3-53-0 ',,C11,The software has an open souce license.,,0,
' 3-53-0 ',Citation request,D1,The extracted software mention (including reference) is refered in a way that matches the citation request of the software.,"This code requires finding the citation request online if available. 
<<<<<<< HEAD
Any public information that address how to cite the software from the official source of the software (i.e. not a third party) is interpreted as a citation request. (i.e., it may not contain phrase like ""request"" but specify a way to reference the software)",0,
' 3-53-0 ',,D2,The software has a publically accessible citation request in plain text style.,,0,
' 3-53-0 ',,D3,The software has a publically accessible citation request in BibTex format.,,0,
' 3-53-0 ',,D4,"The citation request is in a working repository README. (e.g., GitHub; GitLab)",,0,
' 3-53-0 ',,D5,The citation request is on project/software website/webpage.,"If the citation request is on a webpage dedicated to the software mentioned, then this code is TRUE. (e.g., it could be a specific page in an online software catalog, index, or repository)",0,
' 3-53-0 ',,D6,The software has a publically accessible CITATION file.,,0,
' 3-53-0 ',,D7,The software has a publically accessible CITATION.cff.,,0,
' 3-53-0 ',,D8,The software has a publically accessible CodeMeta file.,,0,
' 3-53-0 ',,D9,"The software has a publically accessible, domain-specific citation request, such as R CITATION/R DESCRIPTION file.",,0,
' 3-53-0 ',,D10,The citation request asks to cite the software itself.,,0,
' 3-53-0 ',,D11,"The citation request asks to cite a ""software publication"" or a publication that discuss the software as the primary subject matter.",See the explanation for B3.,0,
' 3-53-0 ',,D12,The citation request asks to a domain science publication.,See the explanation for B5.,0,
' 3-53-0 ',,D13,The citation request asks to cite a project as a whole rather than its product.,"e.g., the programming language R asks users to cite the R project.",0,
' 3-53-0 ',,D14,The citation request asks to a cite a non-software product other than the ones specified above.,,0,
' 3-53-0 ',,D15,OPTIONAL please specify the type of the requested citation object:,,,
' 3-53-0 ',,D16,OPTIONAL please copy and paste the link to the citation request:,,,
' 3-53-0 ',,D17,"The software has at least one version published to an archival repository (e.g., Zenodo, figshare, Software Heritage)","Web search using ""<software name>""+""DOI"" OR ""<software name>""+""figshare"" OR ""<software name>""+""software heritage"" to locate if an archival copy of the software (no matter which version) exists.
=======
Any public information that address how to cite the software from the official source of the software (i.e. not a third party) is interpreted as a citation request. (i.e., it may not contain phrase like ""request"" but specify a way to reference the software). If a citation request is not available, this code is FALSE (i.e., ""0"").",,
' 3-53-0 ',,D2,The software has a publically accessible citation request in plain text style.,,,
' 3-53-0 ',,D3,The software has a publically accessible citation request in BibTex format.,,,
' 3-53-0 ',,D4,"The citation request is in a working repository README. (e.g., GitHub; GitLab)",,,
' 3-53-0 ',,D5,The citation request is on project/software website/webpage.,"If the citation request is on a webpage dedicated to the software mentioned, then this code is TRUE. (e.g., it could be a specific page in an online software catalog, index, or repository)",,
' 3-53-0 ',,D6,The software has a publically accessible CITATION file.,,,
' 3-53-0 ',,D7,The software has a publically accessible CITATION.cff.,,,
' 3-53-0 ',,D8,The software has a publically accessible CodeMeta file.,,,
' 3-53-0 ',,D9,"The software has a publically accessible, domain-specific citation request, such as R CITATION/R DESCRIPTION file.",,,
' 3-53-0 ',,D10,The citation request asks to cite the software itself.,,,
' 3-53-0 ',,D11,"The citation request asks to cite a ""software publication"" or a publication that discuss the software as the primary subject matter.",See the explanation for B3.,,
' 3-53-0 ',,D12,The citation request asks to cite a domain science publication.,See the explanation for B5.,,
' 3-53-0 ',,D13,The citation request asks to cite a project as a whole rather than its product.,"e.g., the programming language R asks users to cite the R project.",,
' 3-53-0 ',,D14,The citation request asks to a cite a non-software product other than the ones specified above.,,,
' 3-53-0 ',,D15,OPTIONAL please specify the type of the requested citation object:,,,
' 3-53-0 ',,D16,OPTIONAL please copy and paste the link to the citation request:,,,
' 3-53-0 ',,D17,"The software has at least one version published to an archival repository (e.g., Zenodo, figshare, Software Heritage)","Web search using ""<software name>""+""Zenodo"" OR ""<software name>""+""figshare"" OR ""<software name>""+""software heritage"" to locate if an archival copy of the software (no matter which version) exists.
>>>>>>> 0c0e68e9ddf9b1b47ef930776b0b60b81706de1b
 If a general Web search of the mentioned software has an archival copy in an institutional repository in the search engine results page, then this code is also TRUE.
If you identify any archival copy of the mentioned software during the search process, then this code is TRUE.",0,
' 3-53-0 ',,D18,"The software has at least one version that has a unique and persistent identifier such as a DOI, ARK, Handle, PURL, or NBN.","Web search using ""<software name>""+""DOI"" OR ""<software name>""+""ARK"" OR ""<software name>""+""Handle"" OR ""<software name>""+""PURL"" OR ""<software name>""+""NBN"" to locate if an archival copy of the software (no matter which version) exists.
Also notice if any findable archival copy of the mentioned software has a unique and persistent identifier accompanied, or the software metadata contains a unique and persistent identifier.
If a unique and persistent identifier of the software itself has been identified (i.e., not a publication; could refer to any version), this code is TRUE.",0,
' 3-53-0 ',,D19,"The metadata of the software itself is publically accessible, including the name of the software, authors/contributors, version/release date, and/or access information (e.g., not available/online location/working repository)","If a CITATION/CITATION.cff/CodeMeta/R DESCRIPTION/R CITATION file exists and populated with metadata items that describe the mentioned software, then this code is TRUE. The metadata could also be in a language specific form or any general software metadata form other than the citation-purpose metadata.",0,
' 3-53-0 ',,D20,OPTIONAL please copy and paste the link to the software metadata:,,,
' 0-28-0 ',Check `context`,A1,The extracted `context` mentions software.,,0,It is an identifier for a genome.
