sample_id,hint,coding_id,coding_scheme,explanation,coding_result,memo
'3-3-0',,A10,The extracted `URL` is the URL of the software mentioned in context. The URL can be a resolvable identifier.,,,
'3-3-0',Check `context`,A11,"Additional configuration details of the software are given in context (e.g., operating environment; language platform; parameter settings)",,,
'3-3-0',,A12,The context is sufficient to know the software is used by the authors in their research.,,,
'3-3-0',,A13,The context is sufficient to know the software is not used by the authors in their research.,,,
'3-3-0',Check `tei`,B1,If the software mention has reference extracted from bibliography in `tei`:,"No coding is required for this code. If the software mention does not have an extracted reference, code B2 through to B12 as ""0"".",,
'3-3-0',,B2,The extracted reference is the reference of the mentioned software.,"This is judged by whether the reference addresses the software itself, or methods implemented in the software. Look for the referenced publication if needed. If the extracted reference is not the one presented in the original publication, then code B3 through to B12 based on the actual reference in the original publication. Otherwise, paste the actual reference in B8 unless it does not exist.",,
'3-3-0',,B3,"The reference is a ""software publication"" or a publication that discusses the software as the primary subject matter.",This might include publications that discuss software as the implementation of certain algorithm/methods. Examples also include dataset paper that substantially discusses software utilities that accompany the dataset.,,
'3-3-0',,B4,"The reference is the software itself in any form (e.g., source code; container; executable) or its metadata. (i.e. not a publication or any kind of document but software as a cited object)",,,
'3-3-0',,B5,The reference is a domain science publication.,"This might include publications that merely discuss algorithms/methods even as computational procedures, but not a concrete code product. For instance, publications in computer science or bioinformatics commonly discuss algorithms or programming methods.",,
'3-3-0',,B6,The reference is a software manual/user guide.,,,
'3-3-0',,B7,The reference is a project but not the software product.,,,
'3-3-0',,B8,"Paste the reference string from the publication if the extracted one is not correct (otherwise leave the cell empty or code as ""0""):",,,
'3-3-0',,B9,The extracted reference string contains the name of the software.,B9-B12 are included to understand reference as part of the software mention and whether the reference provides additional information about the software mentioned in text.,,
'3-3-0',,B10,The extracted reference string contains version/release date of the software.,,,
'3-3-0',,B11,The extracted reference string contains an URL of the software/project. The URL can be a resolvable identifier.,,,
'3-3-0',,B12,The extracted reference string contains the publisher/creator of the mentioned software.,"Usually if the reference is a ""software publication"" or discusses the software substantially, the authors are counted as publishers/creators of the software.",,
'3-3-0',Citation functions,C1,The software is an identifiable entity given the extracted mention.,"The software is identifiable when it has a name. Available information online indicates its existence, even if it is not accessible.",,
'3-3-0',,C2,"The software has at least one findable official presence (e.g., source code, online manual, publication, or an online resource such as a metadata record or webpage that is dedicated to the software).",Use available information in in-text mention and references to search for the software for available online records.,,
'3-3-0',,C3,"The specific version of the software mentioned in the article has at least one findable official presence (e.g., a versioned release, documentation for a specific version, a web page, or an official release note).","Use available information in in-text mention and references to search for the software for available online records. If no version is mentioned in the extracted texts, then code C3 as FALSE.",,
'3-3-0',,C4,"Either or both in-text mention and references contains a unique, persistent identifier (e.g., DOI, ARK, Handle, PURL, NBN) that can resolve to the software itself and/or its metadata. (i.e., the software itself is registered with a persistent URI)",,,
'3-3-0',,C5,Either or both in-text mention and references contains a commit hash that points to a snapshot of the software.,,,
'3-3-0',Access to software,C6,There is no access to the software.,"The software may have an online presence, but there is no available information about how to access the software for use.",,
'3-3-0',,C7,There is only purchase access to the software.,"If the publisher offers free trials for the software, but one still needs to get a paid license for using the software, then it is still counted as purchase access.",,
'3-3-0',,C8,There is free access to the software.,"If the software can be accessed by personal contact or direct download/fork, but there is no information indicating a payment/license fee is required for using it, then software has free access.",,
'3-3-0',,C9,The source code of the software is accessible.,,,
'3-3-0',,C10,"The software has a permission to modify. (i.e., free software or an open source license is available; no permission if it requires personal contact)",,,
